config_name,lwe_dimension,glwe_dimension,polynomial_size,lwe_noise_tag,lwe_gaussian_std,lwe_tuniform_bound_log2,glwe_noise_tag,glwe_gaussian_std,glwe_tuniform_bound_log2,pbs_base_log,pbs_level,ks_base_log,ks_level,message_modulus,carry_modulus,max_noise_level,log2_p_fail,modulus_power_of_2_exponent,encryption_key_choice,ms_tag,ms_modulus_switch_zeros_count,ms_bound,ms_r_sigma_factor,ms_input_variance
SHORTINT_V0_11_PARAM_MESSAGE_3_CARRY_1_COMPACT_PK_KS_PBS_GAUSSIAN_2M64,833,1,2048,0,3.61584e-06,0,0,2.84527e-15,0,23,1,3,5,8,2,2,-64.346,64,Big,0,0,0,0,0
SHORTINT_V0_11_PARAM_MESSAGE_3_CARRY_1_KS_PBS_GAUSSIAN_2M64,833,1,2048,0,3.61584e-06,0,0,2.84527e-15,0,23,1,3,5,8,2,2,-64.346,64,Big,0,0,0,0,0
SHORTINT_V0_11_PARAM_MESSAGE_3_CARRY_2_COMPACT_PK_KS_PBS_GAUSSIAN_2M64,935,1,4096,0,6.22179e-07,0,0,2.1684e-19,0,22,1,3,6,8,4,4,-64.064,64,Big,0,0,0,0,0
SHORTINT_V0_11_PARAM_MESSAGE_3_CARRY_2_KS_PBS_GAUSSIAN_2M64,935,1,4096,0,6.22179e-07,0,0,2.1684e-19,0,22,1,3,6,8,4,4,-64.064,64,Big,0,0,0,0,0
SHORTINT_V0_11_PARAM_MESSAGE_3_CARRY_3_COMPACT_PK_KS_PBS_GAUSSIAN_2M64,977,1,8192,0,3.01444e-07,0,0,2.1684e-19,0,15,2,3,6,8,8,9,-64.166,64,Big,0,0,0,0,0
SHORTINT_V0_11_PARAM_MESSAGE_3_CARRY_3_COMPACT_PK_PBS_KS_GAUSSIAN_2M64,2048,1,16384,0,2.84527e-15,0,0,2.1684e-19,0,15,2,24,1,8,8,9,-140.945,64,Small,0,0,0,0,0
SHORTINT_V0_11_PARAM_MESSAGE_3_CARRY_3_KS_PBS_GAUSSIAN_2M64,977,1,8192,0,3.01444e-07,0,0,2.1684e-19,0,15,2,3,6,8,8,9,-64.166,64,Big,0,0,0,0,0
SHORTINT_V0_11_PARAM_MESSAGE_3_CARRY_3_PBS_KS_GAUSSIAN_2M64,1121,1,8192,0,2.51306e-08,0,0,2.1684e-19,0,15,2,2,12,8,8,9,-64.007,64,Small,0,0,0,0,0
SHORTINT_V0_11_PARAM_MESSAGE_3_CARRY_4_COMPACT_PK_KS_PBS_GAUSSIAN_2M64,1061,1,16384,0,7.07601e-08,0,0,2.1684e-19,0,15,2,3,7,8,16,18,-64.037,64,Big,0,0,0,0,0
SHORTINT_V0_11_PARAM_MESSAGE_3_CARRY_4_KS_PBS_GAUSSIAN_2M64,1061,1,16384,0,7.07601e-08,0,0,2.1684e-19,0,15,2,3,7,8,16,18,-64.037,64,Big,0,0,0,0,0
